Project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba
DataType,Short20,Short20,Short20,Short20,Short20,Short20,Short20,Short20,Short20,Short20
SampleEvent,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022
StreamName,Rock Crk.,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Bear River
SiteName,Rock Crk. Nature Trail,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 16,BR 1
SampleDate,6/27/2022,6/24/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,7/6/2022,6/21/2022
Reach Length,150,150,150,150,150,150,150,150,150,150
Elevation,,,,,,,,,,
GPSLat,39.300995,39.2957,39.2679016,39.2603646,39.239,39.2302,39.22381,39.2615,39.22895,39.308907
GPSLong,-120.928669,-120.8865,-121.0019639,-121.0320418,-121.1872,-121.2442,-121.269861,-121.0137,-121.24228,-120.667372
PH,6.93,7.383333333,7.343333333,7.48,7.64,7.983333333,8.1,7.103333333,7.816666667,7.356666667
Conductivity (µS/cm),25.83,38.6,38.2,54.53333333,102.5666667,200.0333333,161.2,50.83333333,159.0666667,75.6
Temp (°C),11.20,11.65,12.2,12.55,19.96666667,21.8,24.0,10.6,21.43333333,10.38333333
% Sand-Fines,15,0,13,8,10,5,0,28,10,3
% Gravel,60,23,25,26,27,26,32,50,47,35
% Cobble,23,30,61,26,37,40,21,16,22,61
% Boulder,0,46,0,39,26,29,47,5,20,0
Riparian Cover 1-2-3,3,3,3,3,3,3,0,3,3,3
Algae Cover 1-2-3,1,1,3,1,3,3,3,2,1,3
Organic Matter 1-2-3,3,1,3,1,1,1,1,3,1,2
Moss 0-1-2-3,1,0,0,1,0,0,0,0,1,0
Aq Veg 0-1-2-3,0,0,1,0,0,0,0,0,0,0
LWD 0-1-2-3,,,,,,,,,,
Riffle,71,79,35,93.33333333,52.66666667,49.33333333,23.33333333,55.33333333,18.66666667,78
Pool,18,21,49,0,24,46.66666667,57.33333333,37.33333333,78,12.66666667
Transition,11,0,16,6.666666667,23.33333333,4,19.33333333,7.333333333,3.333333333,9.333333333
Current Vel 1-2-3,1,3,3,3,2,2,2,2,1,3
Avg Width (m),2.0175,10.0675,13.445,9.1075,5.63,5.485,6.286,4.0965,4.2025,8.06
Avg Depth (cm),1.3,1.1,1.0,1.1,1.0,1.0,1.1,1.1,1.0,1.1
Disturbance(Trash) 0-1,0,1,0,1,,0,,1,0,